,Date,Start (ET),Visitor/Neutral,Home/Neutral,Arena,Location
345,2024-03-24,3:30p,Philadelphia 76ers,Los Angeles Clippers,Crypto.com Arena,"Los Angeles, CA"
346,2024-03-24,6:00p,Cleveland Cavaliers,Miami Heat,Kaseya Center,"Miami, FL"
347,2024-03-24,7:00p,Oklahoma City Thunder,Milwaukee Bucks,Fiserv Forum,"Milwaukee, WI"
348,2024-03-24,7:00p,Golden State Warriors,Minnesota Timberwolves,Target Center,"Minneapolis, MN"
349,2024-03-24,10:00p,Indiana Pacers,Los Angeles Lakers,Crypto.com Arena,"Los Angeles, CA"
350,2024-03-25,7:00p,Charlotte Hornets,Cleveland Cavaliers,Rocket Mortgage Fieldhouse,
351,2024-03-25,7:30p,Boston Celtics,Atlanta Hawks,State Farm Arena,"Atlanta, GA"
352,2024-03-25,7:30p,Detroit Pistons,New York Knicks,Madison Square Garden (IV),"New York, NY"
353,2024-03-25,7:30p,Brooklyn Nets,Toronto Raptors,Scotiabank Arena,"Toronto, ON"
354,2024-03-25,8:00p,Washington Wizards,Chicago Bulls,United Center,"Chicago, IL"
355,2024-03-25,8:00p,Portland Trail Blazers,Houston Rockets,Toyota Center,"Houston, TX"
356,2024-03-25,8:00p,Phoenix Suns,San Antonio Spurs,Frost Bank Center,"Corpus Christi, TX"
357,2024-03-25,9:00p,Memphis Grizzlies,Denver Nuggets,Ball Arena,"Denver, CO"
358,2024-03-25,9:00p,Dallas Mavericks,Utah Jazz,Delta Center,"Salt Lake City, UT"
359,2024-03-25,10:00p,Philadelphia 76ers,Sacramento Kings,Golden 1 Center,"Sacramento, CA"
360,2024-03-25,10:30p,Indiana Pacers,Los Angeles Clippers,Crypto.com Arena,"Los Angeles, CA"
361,2024-03-26,7:30p,Golden State Warriors,Miami Heat,Kaseya Center,"Miami, FL"
362,2024-03-26,7:30p,Los Angeles Lakers,Milwaukee Bucks,Fiserv Forum,"Milwaukee, WI"
363,2024-03-26,8:00p,Oklahoma City Thunder,New Orleans Pelicans,Smoothie King Center,"New Orleans, LA"
364,2024-03-26,10:00p,Dallas Mavericks,Sacramento Kings,Golden 1 Center,"Sacramento, CA"
365,2024-03-27,7:00p,Cleveland Cavaliers,Charlotte Hornets,Spectrum Center,"Charlotte, NC"
366,2024-03-27,7:00p,Golden State Warriors,Orlando Magic,Amway Center,"Orlando, FL"
367,2024-03-27,7:00p,Brooklyn Nets,Washington Wizards,Capital One Arena,"Washington, DC"
368,2024-03-27,7:30p,Portland Trail Blazers,Atlanta Hawks,State Farm Arena,"Atlanta, GA"
369,2024-03-27,7:30p,Los Angeles Clippers,Philadelphia 76ers,Wells Fargo Center,"Philadelphia, PA"
370,2024-03-27,7:30p,New York Knicks,Toronto Raptors,Scotiabank Arena,"Toronto, ON"
371,2024-03-27,8:00p,Indiana Pacers,Chicago Bulls,United Center,"Chicago, IL"
372,2024-03-27,8:00p,Los Angeles Lakers,Memphis Grizzlies,FedEx Forum,"Memphis, TN"
373,2024-03-27,8:00p,Detroit Pistons,Minnesota Timberwolves,Target Center,"Minneapolis, MN"
374,2024-03-27,8:00p,Houston Rockets,Oklahoma City Thunder,Paycom Center,"Oklahoma City, OK"
375,2024-03-27,9:00p,San Antonio Spurs,Utah Jazz,Delta Center,"Salt Lake City, UT"
376,2024-03-27,10:00p,Phoenix Suns,Denver Nuggets,Ball Arena,"Denver, CO"
377,2024-03-28,7:30p,Boston Celtics,Atlanta Hawks,State Farm Arena,"Atlanta, GA"
378,2024-03-28,8:00p,Milwaukee Bucks,New Orleans Pelicans,Smoothie King Center,"New Orleans, LA"
379,2024-03-29,7:00p,Golden State Warriors,Charlotte Hornets,Spectrum Center,"Charlotte, NC"
380,2024-03-29,7:00p,Los Angeles Lakers,Indiana Pacers,Gainbridge Fieldhouse,"Indianapolis, IN"
381,2024-03-29,7:00p,Los Angeles Clippers,Orlando Magic,Amway Center,"Orlando, FL"
382,2024-03-29,7:00p,Detroit Pistons,Washington Wizards,Capital One Arena,"Washington, DC"
383,2024-03-29,7:30p,Chicago Bulls,Brooklyn Nets,Barclays Center,"Brooklyn, NY"
384,2024-03-29,7:30p,Philadelphia 76ers,Cleveland Cavaliers,Rocket Mortgage Fieldhouse,
385,2024-03-29,8:00p,Portland Trail Blazers,Miami Heat,Kaseya Center,"Miami, FL"
386,2024-03-29,8:00p,Phoenix Suns,Oklahoma City Thunder,Paycom Center,"Oklahoma City, OK"
387,2024-03-29,8:00p,New York Knicks,San Antonio Spurs,Frost Bank Center,"Corpus Christi, TX"
388,2024-03-29,9:00p,Minnesota Timberwolves,Denver Nuggets,Ball Arena,"Denver, CO"
389,2024-03-29,9:30p,Houston Rockets,Utah Jazz,Delta Center,"Salt Lake City, UT"
390,2024-03-29,10:00p,Dallas Mavericks,Sacramento Kings,Golden 1 Center,"Sacramento, CA"
391,2024-03-30,5:00p,Boston Celtics,New Orleans Pelicans,Smoothie King Center,"New Orleans, LA"
392,2024-03-30,7:00p,Memphis Grizzlies,Orlando Magic,Amway Center,"Orlando, FL"
393,2024-03-30,7:30p,Milwaukee Bucks,Atlanta Hawks,State Farm Arena,"Atlanta, GA"
394,2024-03-31,3:30p,Cleveland Cavaliers,Denver Nuggets,Ball Arena,"Denver, CO"
395,2024-03-31,6:00p,Los Angeles Lakers,Brooklyn Nets,Barclays Center,"Brooklyn, NY"
396,2024-03-31,6:00p,Los Angeles Clippers,Charlotte Hornets,Spectrum Center,"Charlotte, NC"
397,2024-03-31,6:00p,Philadelphia 76ers,Toronto Raptors,Scotiabank Arena,"Toronto, ON"
398,2024-03-31,6:00p,Miami Heat,Washington Wizards,Capital One Arena,"Washington, DC"
399,2024-03-31,7:00p,Dallas Mavericks,Houston Rockets,Toyota Center,"Houston, TX"
400,2024-03-31,7:00p,Chicago Bulls,Minnesota Timberwolves,Target Center,"Minneapolis, MN"
401,2024-03-31,7:00p,Oklahoma City Thunder,New York Knicks,Madison Square Garden (IV),"New York, NY"
402,2024-03-31,7:00p,Golden State Warriors,San Antonio Spurs,Frost Bank Center,"Corpus Christi, TX"
403,2024-03-31,9:00p,Utah Jazz,Sacramento Kings,Golden 1 Center,"Sacramento, CA"
404,2024-04-01,7:00p,Boston Celtics,Charlotte Hornets,Spectrum Center,"Charlotte, NC"
405,2024-04-01,7:00p,Memphis Grizzlies,Detroit Pistons,Little Caesars Arena,"Detroit, MI"
406,2024-04-01,7:00p,Brooklyn Nets,Indiana Pacers,Gainbridge Fieldhouse,"Indianapolis, IN"
407,2024-04-01,7:00p,Portland Trail Blazers,Orlando Magic,Amway Center,"Orlando, FL"
408,2024-04-01,8:00p,Atlanta Hawks,Chicago Bulls,United Center,"Chicago, IL"
409,2024-04-01,8:00p,Phoenix Suns,New Orleans Pelicans,Smoothie King Center,"New Orleans, LA"
410,2024-04-02,7:00p,Los Angeles Lakers,Toronto Raptors,Scotiabank Arena,"Toronto, ON"
411,2024-04-02,7:00p,Milwaukee Bucks,Washington Wizards,Capital One Arena,"Washington, DC"
412,2024-04-02,7:30p,New York Knicks,Miami Heat,Kaseya Center,"Miami, FL"
413,2024-04-02,7:30p,Oklahoma City Thunder,Philadelphia 76ers,Wells Fargo Center,"Philadelphia, PA"
414,2024-04-02,8:00p,Houston Rockets,Minnesota Timberwolves,Target Center,"Minneapolis, MN"
415,2024-04-02,9:00p,San Antonio Spurs,Denver Nuggets,Ball Arena,"Denver, CO"
416,2024-04-02,9:00p,Cleveland Cavaliers,Utah Jazz,Delta Center,"Salt Lake City, UT"
417,2024-04-02,10:00p,Dallas Mavericks,Golden State Warriors,Chase Center,"San Francisco, CA"
418,2024-04-02,10:00p,Los Angeles Clippers,Sacramento Kings,Golden 1 Center,"Sacramento, CA"
419,2024-04-03,7:00p,Portland Trail Blazers,Charlotte Hornets,Spectrum Center,"Charlotte, NC"
420,2024-04-03,7:00p,Los Angeles Lakers,Washington Wizards,Capital One Arena,"Washington, DC"
421,2024-04-03,7:30p,Detroit Pistons,Atlanta Hawks,State Farm Arena,"Atlanta, GA"
422,2024-04-03,7:30p,Oklahoma City Thunder,Boston Celtics,TD Garden,"Boston, MA"
423,2024-04-03,7:30p,Indiana Pacers,Brooklyn Nets,Barclays Center,"Brooklyn, NY"
424,2024-04-03,7:30p,Memphis Grizzlies,Milwaukee Bucks,Fiserv Forum,"Milwaukee, WI"
425,2024-04-03,8:00p,Toronto Raptors,Minnesota Timberwolves,Target Center,"Minneapolis, MN"
426,2024-04-03,8:00p,Orlando Magic,New Orleans Pelicans,Smoothie King Center,"New Orleans, LA"
427,2024-04-03,10:00p,Cleveland Cavaliers,Phoenix Suns,Footprint Center,"Phoenix, AZ"
428,2024-04-04,7:30p,Philadelphia 76ers,Miami Heat,Kaseya Center,"Miami, FL"
429,2024-04-04,7:30p,Sacramento Kings,New York Knicks,Madison Square Garden (IV),"New York, NY"
430,2024-04-04,8:00p,Golden State Warriors,Houston Rockets,Toyota Center,"Houston, TX"
431,2024-04-04,8:30p,Atlanta Hawks,Dallas Mavericks,American Airlines Center,"Dallas, TX"
432,2024-04-04,10:00p,Denver Nuggets,Los Angeles Clippers,Crypto.com Arena,"Los Angeles, CA"
433,2024-04-05,7:00p,Orlando Magic,Charlotte Hornets,Spectrum Center,"Charlotte, NC"
434,2024-04-05,7:00p,Oklahoma City Thunder,Indiana Pacers,Gainbridge Fieldhouse,"Indianapolis, IN"
435,2024-04-05,7:00p,Portland Trail Blazers,Washington Wizards,Capital One Arena,"Washington, DC"
436,2024-04-05,7:30p,Sacramento Kings,Boston Celtics,TD Garden,"Boston, MA"
437,2024-04-05,8:00p,New York Knicks,Chicago Bulls,United Center,"Chicago, IL"
438,2024-04-05,8:00p,Miami Heat,Houston Rockets,Toyota Center,"Houston, TX"
439,2024-04-05,8:00p,Detroit Pistons,Memphis Grizzlies,FedEx Forum,"Memphis, TN"
440,2024-04-05,8:00p,Toronto Raptors,Milwaukee Bucks,Fiserv Forum,"Milwaukee, WI"
441,2024-04-05,8:00p,San Antonio Spurs,New Orleans Pelicans,Smoothie King Center,"New Orleans, LA"
442,2024-04-05,8:30p,Golden State Warriors,Dallas Mavericks,American Airlines Center,"Dallas, TX"
443,2024-04-05,10:00p,Minnesota Timberwolves,Phoenix Suns,Footprint Center,"Phoenix, AZ"
444,2024-04-05,10:30p,Utah Jazz,Los Angeles Clippers,Crypto.com Arena,"Los Angeles, CA"
445,2024-04-06,3:30p,Cleveland Cavaliers,Los Angeles Lakers,Crypto.com Arena,"Los Angeles, CA"
446,2024-04-06,7:00p,Detroit Pistons,Brooklyn Nets,Barclays Center,"Brooklyn, NY"
447,2024-04-06,8:00p,Philadelphia 76ers,Memphis Grizzlies,FedEx Forum,"Memphis, TN"
448,2024-04-06,9:00p,Atlanta Hawks,Denver Nuggets,Ball Arena,"Denver, CO"
449,2024-04-07,3:30p,Houston Rockets,Dallas Mavericks,American Airlines Center,"Dallas, TX"
450,2024-04-07,3:30p,Cleveland Cavaliers,Los Angeles Clippers,Crypto.com Arena,"Los Angeles, CA"
451,2024-04-07,5:00p,Miami Heat,Indiana Pacers,Gainbridge Fieldhouse,"Indianapolis, IN"
452,2024-04-07,6:00p,Portland Trail Blazers,Boston Celtics,TD Garden,"Boston, MA"
453,2024-04-07,6:00p,Oklahoma City Thunder,Charlotte Hornets,Spectrum Center,"Charlotte, NC"
454,2024-04-07,6:00p,Chicago Bulls,Orlando Magic,Amway Center,"Orlando, FL"
455,2024-04-07,6:00p,New Orleans Pelicans,Phoenix Suns,Footprint Center,"Phoenix, AZ"
456,2024-04-07,6:00p,Washington Wizards,Toronto Raptors,Scotiabank Arena,"Toronto, ON"
457,2024-04-07,7:00p,New York Knicks,Milwaukee Bucks,Fiserv Forum,"Milwaukee, WI"
458,2024-04-07,7:00p,Philadelphia 76ers,San Antonio Spurs,Frost Bank Center,"Corpus Christi, TX"
459,2024-04-07,7:30p,Sacramento Kings,Brooklyn Nets,Barclays Center,"Brooklyn, NY"
460,2024-04-07,8:30p,Utah Jazz,Golden State Warriors,Chase Center,"San Francisco, CA"
461,2024-04-07,10:00p,Minnesota Timberwolves,Los Angeles Lakers,Crypto.com Arena,"Los Angeles, CA"
462,2024-04-09,7:00p,Dallas Mavericks,Charlotte Hornets,Spectrum Center,"Charlotte, NC"
463,2024-04-09,7:00p,Detroit Pistons,Philadelphia 76ers,Wells Fargo Center,"Philadelphia, PA"
464,2024-04-09,7:00p,Indiana Pacers,Toronto Raptors,Scotiabank Arena,"Toronto, ON"
465,2024-04-09,7:30p,Miami Heat,Atlanta Hawks,State Farm Arena,"Atlanta, GA"
466,2024-04-09,7:30p,Boston Celtics,Milwaukee Bucks,Fiserv Forum,"Milwaukee, WI"
467,2024-04-09,8:00p,New York Knicks,Chicago Bulls,United Center,"Chicago, IL"
468,2024-04-09,8:00p,Orlando Magic,Houston Rockets,Toyota Center,"Houston, TX"
469,2024-04-09,8:00p,San Antonio Spurs,Memphis Grizzlies,FedEx Forum,"Memphis, TN"
470,2024-04-09,8:00p,Washington Wizards,Minnesota Timberwolves,Target Center,"Minneapolis, MN"
471,2024-04-09,8:00p,Sacramento Kings,Oklahoma City Thunder,Paycom Center,"Oklahoma City, OK"
472,2024-04-09,9:00p,Denver Nuggets,Utah Jazz,Delta Center,"Salt Lake City, UT"
473,2024-04-09,10:00p,Golden State Warriors,Los Angeles Lakers,Crypto.com Arena,"Los Angeles, CA"
474,2024-04-09,10:00p,Los Angeles Clippers,Phoenix Suns,Footprint Center,"Phoenix, AZ"
475,2024-04-09,10:00p,New Orleans Pelicans,Portland Trail Blazers,Moda Center,"Portland, OR"
476,2024-04-10,7:00p,Memphis Grizzlies,Cleveland Cavaliers,Rocket Mortgage Fieldhouse,
477,2024-04-10,7:30p,Charlotte Hornets,Atlanta Hawks,State Farm Arena,"Atlanta, GA"
478,2024-04-10,7:30p,Toronto Raptors,Brooklyn Nets,Barclays Center,"Brooklyn, NY"
479,2024-04-10,7:30p,Dallas Mavericks,Miami Heat,Kaseya Center,"Miami, FL"
480,2024-04-10,8:00p,Orlando Magic,Milwaukee Bucks,Fiserv Forum,"Milwaukee, WI"
481,2024-04-10,8:00p,San Antonio Spurs,Oklahoma City Thunder,Paycom Center,"Oklahoma City, OK"
482,2024-04-10,10:00p,Minnesota Timberwolves,Denver Nuggets,Ball Arena,"Denver, CO"
483,2024-04-10,10:30p,Phoenix Suns,Los Angeles Clippers,Crypto.com Arena,"Los Angeles, CA"
484,2024-04-11,7:00p,Chicago Bulls,Detroit Pistons,Little Caesars Arena,"Detroit, MI"
485,2024-04-11,7:30p,New York Knicks,Boston Celtics,TD Garden,"Boston, MA"
486,2024-04-11,9:00p,Houston Rockets,Utah Jazz,Delta Center,"Salt Lake City, UT"
487,2024-04-11,10:00p,Golden State Warriors,Portland Trail Blazers,Moda Center,"Portland, OR"
488,2024-04-11,10:00p,New Orleans Pelicans,Sacramento Kings,Golden 1 Center,"Sacramento, CA"
489,2024-04-12,7:00p,Orlando Magic,Philadelphia 76ers,Wells Fargo Center,"Philadelphia, PA"
490,2024-04-12,7:00p,Chicago Bulls,Washington Wizards,Capital One Arena,"Washington, DC"
491,2024-04-12,7:30p,Charlotte Hornets,Boston Celtics,TD Garden,"Boston, MA"
492,2024-04-12,7:30p,Indiana Pacers,Cleveland Cavaliers,Rocket Mortgage Fieldhouse,
493,2024-04-12,7:30p,Brooklyn Nets,New York Knicks,Madison Square Garden (IV),"New York, NY"
494,2024-04-12,8:00p,Los Angeles Lakers,Memphis Grizzlies,FedEx Forum,"Memphis, TN"
495,2024-04-12,8:00p,Toronto Raptors,Miami Heat,Kaseya Center,"Miami, FL"
496,2024-04-12,8:00p,Atlanta Hawks,Minnesota Timberwolves,Target Center,"Minneapolis, MN"
497,2024-04-12,8:00p,Milwaukee Bucks,Oklahoma City Thunder,Paycom Center,"Oklahoma City, OK"
498,2024-04-12,8:00p,Denver Nuggets,San Antonio Spurs,Frost Bank Center,"Corpus Christi, TX"
499,2024-04-12,8:30p,Detroit Pistons,Dallas Mavericks,American Airlines Center,"Dallas, TX"
500,2024-04-12,10:00p,New Orleans Pelicans,Golden State Warriors,Chase Center,"San Francisco, CA"
501,2024-04-12,10:00p,Houston Rockets,Portland Trail Blazers,Moda Center,"Portland, OR"
502,2024-04-12,10:30p,Utah Jazz,Los Angeles Clippers,Crypto.com Arena,"Los Angeles, CA"
503,2024-04-12,10:30p,Phoenix Suns,Sacramento Kings,Golden 1 Center,"Sacramento, CA"
504,2024-04-14,1:00p,Washington Wizards,Boston Celtics,TD Garden,"Boston, MA"
505,2024-04-14,1:00p,Charlotte Hornets,Cleveland Cavaliers,Rocket Mortgage Fieldhouse,
506,2024-04-14,1:00p,Atlanta Hawks,Indiana Pacers,Gainbridge Fieldhouse,"Indianapolis, IN"
507,2024-04-14,1:00p,Toronto Raptors,Miami Heat,Kaseya Center,"Miami, FL"
508,2024-04-14,1:00p,Chicago Bulls,New York Knicks,Madison Square Garden (IV),"New York, NY"
509,2024-04-14,1:00p,Milwaukee Bucks,Orlando Magic,Amway Center,"Orlando, FL"
510,2024-04-14,1:00p,Brooklyn Nets,Philadelphia 76ers,Wells Fargo Center,"Philadelphia, PA"
511,2024-04-14,3:30p,Utah Jazz,Golden State Warriors,Chase Center,"San Francisco, CA"
512,2024-04-14,3:30p,Houston Rockets,Los Angeles Clippers,Crypto.com Arena,"Los Angeles, CA"
513,2024-04-14,3:30p,Denver Nuggets,Memphis Grizzlies,FedEx Forum,"Memphis, TN"
514,2024-04-14,3:30p,Phoenix Suns,Minnesota Timberwolves,Target Center,"Minneapolis, MN"
515,2024-04-14,3:30p,Los Angeles Lakers,New Orleans Pelicans,Smoothie King Center,"New Orleans, LA"
516,2024-04-14,3:30p,Dallas Mavericks,Oklahoma City Thunder,Paycom Center,"Oklahoma City, OK"
517,2024-04-14,3:30p,Portland Trail Blazers,Sacramento Kings,Golden 1 Center,"Sacramento, CA"
518,2024-04-14,3:30p,Detroit Pistons,San Antonio Spurs,Frost Bank Center,"Corpus Christi, TX"
